KEY,No_Adults,No_Children
ABC989007,1,0
ABC989016,1,0
ABC989020,2,1
ABC989023,1,0
ABC989028,1,0
ABC989035,1,0
ABC989061,1,0
ABC989079,1,2
ABC989098,2,1
ABC989122,1,0
ABC989205,1,0
ABC989215,1,0
ABC989217,1,1
ABC989249,1,0
ABC989265,1,0
ABC989303,2,0
ABC989316,1,0
ABC989356,1,0
ABC989368,1,1
ABC989370,1,0
ABC989393,2,1
ABC989410,1,0
ABC989453,1,2
ABC989463,1,0
ABC989487,1,0
ABC989496,1,0
ABC989517,1,0
ABC989542,1,0
ABC989546,2,10
ABC989579,1,0
ABC989597,2,0
ABC989606,1,2
ABC989614,1,0
ABC989672,1,0
ABC989675,1,0
ABC989680,1,0
ABC989703,2,0
ABC989724,1,0
ABC989737,1,0
ABC989761,1,0
ABC989787,1,0
ABC989789,1,0
ABC989798,2,0
ABC989849,2,0
ABC989866,1,0
ABC989885,1,0
ABC989894,2,0
ABC989898,1,0
ABC989946,1,0
ABC989972,1,0
ABC989983,1,1
ABC990042,1,0
ABC990083,1,1
ABC990096,1,0
ABC990133,1,0
ABC990162,2,0
ABC990204,1,0
ABC990316,1,0
ABC990323,1,0
ABC990369,1,0
ABC990385,1,0
ABC990398,1,0
ABC990415,2,0
ABC990427,1,0
ABC990429,1,0
ABC990443,1,2
ABC990446,1,0
ABC990451,2,1
ABC990460,2,2
ABC990462,1,0
ABC990478,1,2
ABC990479,2,2
ABC990504,1,0
ABC990511,1,0
ABC990513,1,0
ABC990531,1,0
ABC990551,1,0
ABC990558,1,0
ABC990567,2,4
ABC990592,1,0
ABC990611,1,0
ABC990612,1,3
ABC990613,1,0
ABC990676,1,0
ABC990691,1,0
ABC990719,1,0
ABC990728,1,0
ABC990738,1,0
ABC990748,1,0
ABC990783,1,1
ABC990794,2,0
ABC990836,1,0
ABC990857,2,2
ABC990872,1,0
ABC990902,2,0
ABC990936,2,2
ABC990999,1,3
ABC991001,1,0
ABC991004,1,0
ABC991016,1,0
ABC991038,2,0
ABC991046,2,0
ABC991088,1,0
ABC991109,1,0
ABC991150,1,0
ABC991151,2,0
ABC991210,2,0
ABC991225,1,0
ABC991243,1,0
ABC991265,1,1
ABC991278,1,0
ABC991282,1,1
ABC991364,2,5
ABC991395,1,0
ABC991401,1,0
ABC991459,2,3
ABC991461,1,1
ABC991505,1,2
ABC991510,2,0
ABC991580,1,0
ABC991626,1,0
ABC991644,1,0
ABC991652,2,0
ABC991659,1,1
ABC991692,1,0
ABC991693,2,3
ABC991732,1,0
ABC991737,1,0
ABC991805,1,0
ABC991831,2,2
ABC991833,1,0
ABC991853,1,3
ABC991854,1,0
ABC991856,1,0
ABC991910,1,0
ABC991917,1,1
ABC991929,1,0
ABC991936,2,4
ABC991941,0,0
ABC991957,2,0
ABC992005,1,0
ABC992045,2,2
ABC992054,1,2
ABC992076,1,1
ABC992093,1,0
ABC992134,1,3
ABC992137,1,3
ABC992146,1,0
ABC992212,1,0
ABC992236,1,1
ABC992244,1,0
ABC992250,1,0
ABC992259,1,0
ABC992305,1,0
ABC992308,1,0
ABC992316,2,2
ABC992338,1,0
ABC992360,1,0
ABC992383,1,0
ABC992420,1,1
ABC992423,1,0
ABC992444,1,0
ABC992474,1,1
ABC992475,1,1
ABC992509,2,6
ABC992511,1,0
ABC992541,1,1
ABC992544,1,1
ABC992611,2,0
ABC992622,1,0
ABC992655,2,0
ABC992665,1,0
ABC992666,1,0
ABC992692,1,0
ABC992753,1,0
ABC992862,2,2
ABC992869,1,1
ABC992920,2,2
ABC992956,1,1
ABC992959,2,2
ABC992963,1,0
ABC992966,1,1
ABC993020,2,6
ABC993028,1,4
ABC993032,3,1
ABC993033,2,1
ABC993056,2,1
ABC993082,1,0
ABC993098,1,0
ABC993103,1,0
ABC993107,2,3
ABC993202,1,0
ABC993219,2,1
ABC993220,1,0
ABC993284,2,3
ABC993378,1,4
ABC993379,1,0
ABC993384,1,0
ABC993389,2,2
ABC993455,2,2
ABC993481,2,0
ABC993533,1,3
ABC993558,2,1
ABC993598,1,0
ABC993609,1,0
ABC993610,1,1
ABC993659,2,2
ABC993684,2,1
ABC993685,2,1
ABC993689,2,1
ABC993691,1,0
ABC993693,1,0
ABC993696,2,3
ABC993702,1,0
ABC993703,2,4
ABC993713,2,1
ABC993724,1,0
ABC993727,1,0
ABC993747,1,2
ABC993757,1,2
ABC993819,1,0
ABC993821,1,1
ABC993839,1,0
ABC993916,1,0
ABC993929,3,1
ABC993951,2,3
ABC993959,2,3
ABC993965,1,1
ABC993978,2,1
ABC993985,1,0
ABC993986,2,2
ABC994035,2,1
ABC994090,1,3
ABC994093,1,0
ABC994102,1,2
ABC994127,2,3
ABC994128,3,1
ABC994132,1,0
ABC994136,1,0
ABC994138,1,0
ABC994144,1,1
ABC994145,1,0
ABC994151,1,1
ABC994156,1,0
ABC994159,1,0
ABC994166,1,0
ABC994178,1,0
ABC994186,1,0
ABC994194,1,1
ABC994198,1,1
ABC994199,1,0
ABC994201,1,0
ABC994239,1,0
ABC994246,2,1
ABC994255,2,1
ABC994261,1,2
ABC994276,1,0
ABC994278,1,1
ABC994289,1,0
ABC994296,2,1
ABC994307,1,0
ABC994328,1,4
ABC994372,1,0
ABC994375,1,0
ABC994383,1,0
ABC994411,1,3
ABC994426,1,0
ABC994480,1,0
ABC994526,1,2
ABC994539,4,7
ABC994587,1,0
ABC994601,1,0
ABC994622,1,0
ABC994679,1,2
ABC994688,1,0
ABC994720,1,0
ABC994736,1,0
ABC994754,2,3
ABC994757,2,3
ABC994799,1,0
ABC994811,1,0
ABC994874,1,0
ABC994877,1,1
ABC994898,1,0
ABC994903,1,0
ABC994965,1,0
ABC994995,1,0
ABC995001,1,0
ABC995009,2,0
ABC995044,1,0
ABC995070,2,2
ABC995089,1,0
ABC995096,1,2
ABC995123,1,2
ABC995150,1,0
ABC995171,2,2
ABC995204,3,2
ABC995307,1,4
ABC995363,1,0
ABC995365,1,0
ABC995401,2,2
ABC995403,2,1
ABC995405,1,0
ABC995446,2,0
ABC995465,1,2
ABC995493,2,4
ABC995496,1,0
ABC995498,1,1
ABC995569,1,0
ABC995656,1,1
ABC995662,1,0
ABC995669,1,1
ABC995673,2,5
ABC995724,1,2
ABC995754,1,0
ABC995761,1,0
ABC995792,1,0
ABC995809,2,0
ABC995810,1,1
ABC995819,1,2
ABC995899,1,0
ABC995910,2,0
ABC995976,1,0
ABC996013,1,3
ABC996049,1,0
ABC996075,1,0
ABC996079,1,0
ABC996091,4,2
ABC996094,1,0
ABC996116,1,3
ABC996128,1,0
ABC996146,1,0
ABC996152,2,4
ABC996155,1,0
ABC996172,1,0
ABC996188,1,0
ABC996207,1,0
ABC996276,1,0
ABC996344,1,0
ABC996348,1,1
ABC996350,1,0
ABC996356,1,0
ABC996360,1,0
ABC996386,1,0
ABC996404,1,0
ABC996430,1,2
ABC996455,1,0
ABC996459,1,0
ABC996471,1,0
ABC996540,1,0
ABC996602,1,0
ABC996606,2,0
ABC996622,2,0
ABC996623,1,0
ABC996687,1,0
ABC996721,1,0
ABC996736,2,0
ABC996796,1,0
ABC996830,1,1
ABC996850,1,0
ABC996863,1,0
ABC996874,1,2
ABC996885,1,0
ABC996888,1,0
ABC996906,1,0
ABC996919,2,0
ABC996938,1,0
ABC996947,1,0
ABC996964,1,3
ABC997003,1,0
ABC997022,1,0
ABC997054,2,2
ABC997107,1,0
ABC997148,1,0
ABC997226,2,3
ABC997292,1,0
ABC997302,2,1
ABC997343,1,2
ABC997366,1,3
ABC997375,1,0
ABC997394,1,0
ABC997406,1,0
ABC997437,2,2
ABC997446,2,0
ABC997457,1,0
ABC997465,1,0
ABC997474,2,2
ABC997491,1,0
ABC997508,1,0
ABC997510,2,0
ABC997540,2,0
ABC997541,1,0
ABC997581,1,4
ABC997641,1,0
ABC997651,1,0
ABC997664,1,0
ABC997688,1,0
ABC997702,1,0
ABC997720,2,0
ABC997747,2,1
ABC997791,2,2
ABC997793,1,5
ABC997799,1,0
ABC997802,1,0
ABC997809,1,2
ABC997833,5,1
ABC997886,1,0
ABC997916,1,0
ABC997919,1,0
ABC997924,1,0
ABC997926,1,0
ABC997951,1,0
ABC998010,1,0
ABC998039,1,0
ABC998073,1,0
ABC998116,1,2
ABC998138,1,0
ABC998146,2,4
ABC998155,1,0
ABC998180,1,4
ABC998183,1,0
ABC998253,2,0
ABC998254,2,0
ABC998264,1,0
ABC998265,1,0
ABC998307,1,0
ABC998317,2,2
ABC998318,2,4
ABC998326,1,1
ABC998340,2,0
ABC998405,1,0
ABC998434,1,0
ABC998435,2,0
ABC998457,2,1
ABC998542,1,2
ABC998543,1,1
ABC998587,2,1
ABC998669,2,4
ABC998677,2,1
ABC998741,1,4
ABC998783,1,1
ABC998835,2,1
ABC998846,1,0
ABC998906,2,1
ABC998932,1,0
ABC998997,2,2
ABC999005,1,2
ABC999008,1,0
ABC999016,1,0
ABC999042,1,0
ABC999104,1,0
ABC999149,1,0
ABC999152,2,1
ABC999178,2,3
ABC999208,1,2
ABC999229,2,1
ABC999232,1,1
ABC999234,2,7
ABC999237,2,3
ABC999239,1,0
ABC999248,2,2
ABC999285,1,0
ABC999292,2,2
ABC999297,1,0
ABC999309,1,0
ABC999341,1,2
ABC999421,1,1
ABC999456,2,3
ABC999477,2,2
ABC999500,1,0
ABC999513,1,0
ABC999526,1,1
ABC999551,2,1
ABC999559,1,0
ABC999573,1,0
ABC999578,1,2
ABC999579,1,0
ABC999582,1,0
ABC999587,2,3
ABC999589,1,0
ABC999591,2,1
ABC999609,2,4
ABC999635,1,3
ABC999639,1,0
ABC999647,1,3
ABC999649,1,2
ABC999680,1,2
ABC999693,1,0
ABC999697,1,2
ABC999704,1,1
ABC999706,1,3
ABC999748,1,1
ABC999758,3,1
ABC999777,1,2
ABC999807,2,1
ABC999811,1,2
ABC999847,1,1
ABC999861,1,0
ABC999866,2,2
ABC999873,2,1
ABC999881,1,1
ABC999884,2,3
